OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
67,SIY,SISKIYOU COUNTY AIRPORT,SISKIYOU COUNTY,Montague,Siskiyou,Community,COMMUNITY,General Aviation,01906.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=SIY,14424.4604517978,7013590.69733334
68,APV,APPLE VALLEY AIRPORT,APPLE VALLEY,Apple Valley,San Bernardino,Regional,REGIONAL-Business/Corporate,General Aviation,01248.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=APV,16670.1773404531,4762201.27339951
69,BNG,BANNING MUNICIPAL AIRPORT,BANNING MUNI,Banning,Riverside,Community,COMMUNITY,General Aviation,01297.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=BNG,6368.39240651652,819839.558075656
70,BIH,EASTERN SIERRA REGIONAL AIRPORT,EASTERN SIERRA REGIONAL,Bishop,Inyo,Regional,REGIONAL-Business/Corporate,General Aviation,01327.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=BIH,10445.5539415688,5294649.80320253
71,BLU,BLUE CANYON AIRPORT,BLUE CANYON,Emigrant Gap,Placer,Limited Use,LIMITED USE-Firefighting,Not a NPIAS Facility,01548.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=BLU,5134.34245120136,1173539.92876966
72,BLH,BLYTHE AIRPORT,BLYTHE,Blythe,Riverside,Community,COMMUNITY,General Aviation,01336.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=BLH,19674.7655137036,21534672.793569
73,CCR,BUCHANAN FIELD AIRPORT,BUCHANAN FIELD,Concord,Contra Costa,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01437.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=CCR,7833.37753755983,3219211.75471761
74,C83,BYRON AIRPORT,BYRON,Byron,Contra Costa,Community,COMMUNITY-Recreation,Reliever,01356.5*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=C83,14730.6059424684,7899810.20308711
75,CCB,CABLE AIRPORT,CABLE,Upland,San Bernardino,Regional,REGIONAL,Reliever,02385.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=CCB,4995.32831045202,662033.714847824
76,CPU,CALAVERAS CO./MAURY RASMUSSEN AIRPORT,CALAVERAS CO.,San Andreas,Calaveras,Community,COMMUNITY,General Aviation,02141.11*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=CPU,4653.25002868699,610512.780705057
77,CXL,CALEXICO INTERNATIONAL AIRPORT,CALEXICO INT'L,Calexico,Imperial,Community,COMMUNITY,General Aviation,01358.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=CXL,6639.70449001267,1627676.67264094
78,CMA,CAMARILLO AIRPORT,CAMARILLO,Camarillo,Ventura,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01369.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=CMA,12024.6965666927,3893953.94702857
79,AVX,CATALINA AIRPORT,CATALINA,Avalon,Los Angeles,Community,COMMUNITY-Recreation,General Aviation,01276.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=AVX,3607.58917414747,288283.121070976
80,CNO,CHINO AIRPORT,CHINO,Chino,San Bernardino,Regional,REGIONAL-Business/Corporate,Reliever,01398.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=CNO,10853.4706278068,6318101.16127714
81,CLR,CLIFF HATFIELD MEMORIAL AIRPORT,CLIFF HATFIELD MEMORIAL,Calipatria,Imperial,Community,COMMUNITY-Agriculture,Not a NPIAS Facility,01363.*A,11,http://www.gcr1.com/5010web/airport.cfm?Site=CLR,4824.9958596178,1070854.06355077
82,CPM,COMPTON/WOODLEY AIRPORT,COMPTON WOODLEY,Compton,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01434.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=CPM,3538.69709279382,432317.797670485
83,CRO,CORCORAN AIRPORT,CORCORAN,Corcoran,Kings,Community,COMMUNITY-Agriculture,Not a NPIAS Facility,01439.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=CRO,4856.82353761388,1409030.29095587
84,F62,HAYFORK AIRPORT,HAYFORK,Hayfork,Trinity,Community,COMMUNITY,General Aviation,01650.01*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=F62,5824.11046395948,852241.326824178
85,H47,HYAMPOM AIRPORT,HYAMPOM,Hyampom,Trinity,Community,COMMUNITY,Not a NPIAS Facility,01678.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=H47,3254.91687949276,262084.829437083
86,O54,LONNIE POOL FIELD-WEAVERVILLE,LONNIE POOL FIELD,Weaverville,Trinity,Community,COMMUNITY-Recreation,General Aviation,02431.1*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=O54,4859.36722464477,456904.671633614
